32,2012,12,7,1,4,5,20,2.55,1.49,0,168,167,2,5,18.2,20,2,2,1
33,2012,12,8,1,7,8,20,1.45,2.68,0,147,143,3,5,18.4,20,1,2,1
34,2012,12,9,1,2,3,19,1.87,1.89,0,172,175,6,2,20,19,1,1,2
35,2012,12,9,1,6,1,19.2,1.7,2.1,0,162,164,6,4,20,19.2,1,1,2
36,2012,12,12,2,6,5,2,2.4,1.55,0,69,29,10,0,15.2,2,2,1,2
37,2012,12,13,2,1,2,20,1.68,2.15,0,185,186,8,7,20,20,2,1,2
38,2012,12,14,2,8,4,18.2,2.04,1.75,0,116,117,7,5,20,18.2,2,1,2
39,2012,12,15,2,5,3,20,1.69,2.14,0,135,134,6,8,19.1,20,1,2,1
40,2012,12,16,3,7,6,19.2,1.61,2.32,0,113,114,9,3,20,19.2,2,1,2
41,2012,12,18,3,2,6,4.2,1.8,2,0,109,51,4,1,13.1,4.2,2,1,2
42,2012,12,19,3,4,3,20,2.01,1.78,0,103,102,3,9,13.2,20,1,2,1
43,2012,12,20,3,8,1,20,1.89,1.87,0,126,177,10,6,18.4,20,1,2,2
44,2012,12,21,4,5,7,20,1.64,2.22,0,177,156,6,5,20,20,2,1,1
45,2012,12,22,4,4,2,20,1.75,2.06,0,137,133,4,7,19.1,20,2,2,1
46,2012,12,23,4,3,8,20,1.51,2.61,0,177,147,4,9,20,20,2,1,1
47,2012,12,23,4,1,7,20,1.8,1.99,0,136,135,1,6,15.5,20,2,2,1
48,2012,12,26,5,7,3,19.5,2.11,1.72,0,154,158,8,3,20,19.5,2,1,2
49,2012,12,27,5,1,5,20,2.02,1.78,0,167,175,4,8,20,20,2,2,2
50,2012,12,28,5,8,2,16.4,2.02,1.77,0,126,127,10,5,20,16.4,1,1,2
51,2012,12,29,5,6,4,19.1,2.02,1.78,0,187,136,3,10,20,19.1,2,1,1
52,2012,12,30,6,8,7,19,2.16,1.69,0,132,136,6,6,20,19,1,1,2
53,2013,1,1,6,3,6,20,1.73,2.08,0,153,152,4,8,18.3,20,2,2,1
54,2013,1,2,6,4,1,18.3,1.86,1.92,0,155,107,6,10,20,18.3,2,1,1
55,2013,1,3,6,2,5,20,2.31,1.6,0,171,147,5,9,20,20,2,1,1
56,2013,1,4,7,6,8,20,1.56,2.39,0,117,113,1,9,13.2,20,2,2,1
57,2013,1,5,7,3,1,20,1.68,2.16,0,124,162,8,4,20,20,2,2,2
58,2013,1,6,7,5,4,18.5,1.62,2.27,0,146,147,9,1,20,18.5,1,1,2
59,2013,1,7,7,2,7,19,1.65,2.2,0,127,128,9,5,20,19,1,1,2
60,2013,1,8,8,5,8,19.4,1.5,2.56,0,145,132,8,10,20,19.4,1,1,1
61,2013,1,9,8,7,4,20,1.7,2.13,0,149,178,10,5,20,20,2,2,2
62,2013,1,10,8,1,6,20,1.85,1.91,0,91,189,10,4,18.3,20,2,2,2
63,2013,1,12,8,3,2,14.1,1.64,2.2,0,150,152,3,2,20,14.1,1,1,2
64,2013,1,15,9,4,2,20,1.64,2.22,0,168,183,9,3,20,20,2,2,2
65,2013,1,16,9,6,5,18,1.62,2.22,0,142,183,2,2,13,18,1,2,1
66,2013,1,19,10,6,2,20,1.61,2.26,0,133,167,9,5,20,20,2,2,2
67,2013,12,20,1,5,4,17.3,1.65,2.2,0,208,132,7,10,20,17.3,2,1,1
68,2013,12,21,1,7,8,20,1.86,1.91,0,167,166,4,6,18.2,20,1,2,1
69,2013,12,22,1,3,1,6,1.74,2.07,0,0,87,0,1,0,6,1,2,3
70,2013,12,22,1,2,6,20,1.7,2.12,0,152,151,7,7,19.4,20,2,2,1
71,2013,12,26,2,6,4,20,1.79,2,0,117,111,7,8,20,20,1,1,1
72,2013,12,27,2,8,1,20,2.34,1.58,0,147,153,6,6,20,20,1,2,2
73,2013,12,28,2,2,3,19.2,1.65,2.2,0,209,210,3,7,20,19.2,1,1,2
74,2013,12,29,2,7,5,20,2.5,1.52,0,123,200,9,5,20,20,1,2,2
75,2013,12,30,3,4,2,19.2,2.08,1.72,0,210,153,3,10,20,19.2,1,1,1
76,2013,12,31,3,1,6,20,1.68,2.16,0,164,159,4,9,19,20,2,2,1
77,2014,1,1,3,3,4,20,1.7,2.17,0,111,162,10,8,17.1,20,2,2,2
78,2014,1,1,3,8,5,19.1,2.95,1.39,0,155,156,6,3,20,19.1,1,1,2
79,2014,1,2,4,2,7,20,1.67,2.18,0,136,140,7,8,20,20,1,2,2
80,2014,1,3,4,6,8,20,1.68,2.16,0,161,157,4,6,19.2,20,2,2,1
81,2014,1,4,4,4,5,16.2,2.33,1.59,0,163,167,5,1,20,16.2,1,1,2
82,2014,1,5,4,1,7,19.1,1.66,2.18,0,149,150,7,4,20,19.1,1,1,2
83,2014,1,7,5,6,3,20,1.85,1.93,0,153,147,7,7,20,20,1,1,1
84,2014,1,8,5,8,2,20,2.13,1.69,0,117,165,10,5,17.2,20,2,2,2
85,2014,1,9,5,5,1,20,1.47,2.66,0,91,90,2,9,7.3,20,2,2,1
86,2014,1,10,5,7,6,20,1.58,2.34,-1,153,153,9,5,20,20,2,2,2
87,2014,1,11,6,3,8,16.4,1.53,2.49,0,167,94,5,10,20,16.4,1,1,1
88,2014,1,11,6,2,5,19.4,2.44,1.55,0,144,149,7,7,20,19.4,1,1,2
89,2014,1,14,6,4,8,11.3,1.48,2.62,0,104,105,10,1,18.3,11.3,1,1,2
90,2014,1,15,6,7,3,20,1.77,2.02,0,179,172,6,8,20,20,1,1,1
91,2014,1,16,7,6,1,20,1.69,2.14,0,203,198,7,6,20,20,1,1,1
92,2014,1,18,7,1,2,20,1.83,1.96,0,97,129,10,7,18.2,20,2,2,2
93,2014,1,18,7,4,7,20,2.3,1.6,0,149,151,5,6,20,20,1,2,2
94,2014,1,21,7,5,3,20,1.56,2.4,0,135,131,5,9,19.1,20,1,2,1
95,2014,1,22,8,1,4,20,1.64,2.23,0,154,155,7,6,20,20,2,2,2
96,2014,1,23,8,3,2,20,1.91,1.87,0,209,169,7,8,20,20,1,1,1
97,2014,1,25,8,8,7,19.2,2.45,1.54,0,128,131,6,2,20,19.2,2,1,2
98,2014,1,27,8,5,6,20,1.72,2.09,0,161,141,6,9,20,20,1,1,1
99,2014,2,4,9,5,3,18.1,1.42,2.89,0,141,142,8,3,20,18.1,1,1,2
100,2014,2,5,9,7,6,20,1.71,2.17,0,48,193,6,5,5,20,1,2,2
101,2014,2,7,10,6,3,20,1.78,2.03,0,191,152,4,7,20,20,1,1,1
102,2014,12,18,1,1,5,20,2.6,1.49,0,149,148,2,7,12.3,20,2,2,1
103,2014,12,19,1,7,4,20,2.47,1.54,0,158,154,2,7,18.5,20,1,2,1
104,2014,12,20,1,5,3,20,1.57,2.4,0,138,190,9,5,20,20,1,2,2
105,2014,12,21,1,8,2,17.4,2.06,1.75,0,208,152,1,10,20,17.4,2,1,1
106,2014,12,22,2,6,1,19.4,2.2,1.65,0,146,147,7,9,20,19.4,1,1,2
107,2014,12,23,2,3,7,18.1,1.56,2.41,0,154,158,8,3,19,18.1,1,1,2
108,2014,12,26,2,6,4,20,2.19,1.68,0,192,157,3,9,20,20,1,1,1
109,2014,12,27,2,8,7,20,1.95,1.85,0,164,180,5,7,20,20,1,2,2
110,2014,12,28,3,2,5,20,2.6,1.5,0,164,163,8,7,20,20,2,1,1
111,2014,12,29,3,7,6,20,1.62,2.28,0,99,135,10,7,17.3,20,2,2,2
112,2014,12,30,3,4,8,20,1.69,2.16,0,118,114,2,6,13.5,20,1,2,1
113,2014,12,31,3,1,3,20,2.03,1.79,0,141,136,2,8,14.3,20,2,2,1
114,2015,1,1,4,6,8,20,1.69,2.16,0,159,179,5,3,20,20,2,2,2
115,2015,1,2,4,3,2,20,1.64,2.26,0,209,208,4,6,19,20,1,2,1
116,2015,1,3,4,4,5,20,2,1.8,0,57,169,10,6,12.4,20,1,2,2
117,2015,1,4,4,2,1,18.5,1.98,1.83,0,152,158,6,5,20,18.5,2,1,2
118,2015,1,5,5,5,7,20,1.58,2.39,-1,150,150,4,6,20,20,1,2,1
119,2015,1,6,5,1,6,20,1.64,2.27,0,115,133,10,6,19.3,20,1,2,2
120,2015,1,7,5,3,4,20,1.67,2.2,0,126,163,10,7,19.2,20,1,2,2
121,2015,1,8,5,6,2,20,1.69,2.17,0,137,134,2,7,15.5,20,2,2,1
122,2015,1,9,6,8,3,13.5,1.9,1.91,0,77,84,7,5,17,13.5,2,1,2
123,2015,1,10,6,5,4,20,1.67,2.2,0,154,153,7,6,20,20,2,2,1
124,2015,1,11,6,3,6,20,1.82,1.98,0,123,141,7,8,20,20,2,2,2
125,2015,1,11,6,2,7,17.4,2.2,1.67,0,147,148,6,4,20,17.4,2,1,2
126,2015,1,12,7,1,8,1,1.57,2.41,0,119,18,5,0,10,1,2,1,3
127,2015,1,13,7,4,2,17.3,1.67,2.21,0,81,80,5,10,14,17.3,1,2,1
128,2015,1,14,7,7,1,20,1.82,1.99,0,159,182,10,6,19.4,20,2,2,2
129,2015,1,15,7,2,3,20,2.12,1.73,0,198,180,6,8,20,20,2,1,1
130,2015,1,17,8,8,5,14.3,2.52,1.53,0,106,107,8,2,20,14.3,2,1,2
131,2015,1,19,8,4,1,20,1.88,1.95,0,144,166,7,5,20,20,2,2,2
132,2015,1,21,8,5,6,20,1.78,2.04,0,182,179,7,2,19.3,20,2,2,1
133,2015,1,22,8,7,8,20,1.53,2.51,0,155,154,6,4,20,20,1,2,1
134,2015,1,24,9,1,7,20,1.64,2.24,0,94,181,10,4,14.3,20,2,2,2
135,2015,1,25,9,6,5,19.5,1.77,2.05,0,144,126,7,10,20,19.5,1,1,1
136,2015,1,28,10,7,6,20,1.97,1.84,0,147,148,5,6,20,20,1,1,2
137,2015,12,17,1,8,7,19.5,1.87,1.96,0,158,122,4,10,20,19.5,1,1,1
138,2015,12,18,1,1,5,20,2.48,1.55,0,187,168,5,7,20,20,2,1,1
139,2015,12,19,1,2,4,19.3,2.39,1.59,0,180,184,5,3,20,19.3,1,1,2
140,2015,12,20,1,7,3,15.5,1.83,1.99,0,186,91,7,10,20,15.5,1,1,1
141,2015,12,20,2,5,8,20,1.58,2.41,0,177,178,5,6,20,20,1,2,2
142,2015,12,21,2,6,1,19.1,1.53,2.51,0,151,152,6,6,20,19.1,1,1,2
143,2015,12,22,2,3,2,20,1.66,2.24,0,184,164,3,8,20,20,1,1,1
144,2015,12,23,2,4,7,18.5,1.67,2.22,0,172,174,4,7,20,18.5,2,1,2
145,2015,12,26,3,6,2,20,1.66,2.23,0,118,117,1,7,15.1,20,2,2,1
146,2015,12,27,3,7,5,18.4,1.94,1.87,0,139,143,6,5,20,18.4,1,1,2
147,2015,12,28,3,8,1,20,1.8,2.03,0,121,117,3,9,16.3,20,2,2,1
148,2015,12,29,3,2,3,20,2.24,1.66,0,179,194,9,4,20,20,2,2,2
149,2015,12,30,4,4,6,18.4,1.92,1.9,0,170,171,4,0,20,18.4,2,1,2
150,2015,12,31,4,1,7,20,1.6,2.37,0,182,176,5,5,19.3,20,1,2,1
151,2016,1,1,4,3,8,20,1.94,1.88,0,163,152,6,9,20,20,2,1,1
152,2016,1,2,4,5,4,20,1.71,2.18,0,163,161,3,7,19.1,20,1,2,1
153,2016,1,2,5,6,7,20,1.46,2.77,0,114,112,1,8,14.3,20,2,2,1
154,2016,1,3,5,2,8,20,2.27,1.65,0,189,186,4,5,19.3,20,1,2,1
155,2016,1,4,5,3,4,14,1.9,1.92,0,140,144,5,5,20,14,2,1,2
156,2016,1,5,5,1,6,17.3,2.06,1.77,0,174,138,2,10,20,17.3,1,1,1
157,2016,1,6,6,5,3,20,1.51,2.61,0,126,124,2,10,15,20,1,2,1
158,2016,1,7,6,8,6,20,2.02,1.81,0,145,175,9,5,20,20,1,2,2
159,2016,1,8,6,2,1,18.4,2.22,1.66,0,175,179,6,2,20,18.4,2,1,2
160,2016,1,9,6,4,5,18,2.13,1.72,0,155,156,6,2,20,18,2,1,2
161,2016,1,10,7,3,6,20,2.21,1.67,0,172,173,6,5,20,20,2,2,2
162,2016,1,10,7,7,2,20,1.82,1.99,0,156,162,8,8,20,20,2,2,2
163,2016,1,11,7,8,4,19.2,1.57,2.38,0,173,176,5,5,20,19.2,1,1,2
164,2016,1,13,7,1,3,19.3,1.74,2.08,0,146,143,4,10,20,19.3,2,2,1
165,2016,1,14,8,5,2,20,1.56,2.43,0,132,188,9,7,20,20,1,2,2
166,2016,1,16,8,7,8,20,2.1,1.73,0,156,202,10,5,20,20,1,2,2
167,2016,1,16,8,6,5,20,1.71,2.13,0,94,146,10,9,19,20,1,2,2
168,2016,1,18,8,4,1,20,1.74,2.04,0,143,170,10,5,15.3,20,1,2,2
169,2016,1,21,9,1,8,17.4,1.9,1.91,0,159,160,7,2,20,17.4,1,1,2
170,2016,1,22,9,5,6,20,1.94,1.87,0,140,139,3,7,18.1,20,1,2,1
171,2016,1,24,10,5,8,19.3,2.06,1.77,0,176,181,9,7,20,19.3,2,1,2
172,2016,12,20,1,8,7,18,2.06,1.74,0,159,160,8,1,20,18,2,1,2
173,2016,12,21,1,1,2,20,1.79,2.01,0,196,206,6,5,20,20,1,2,2
174,2016,12,22,1,4,8,19.1,1.59,2.35,0,179,130,7,10,20,19.1,2,1,1
175,2016,12,23,1,7,3,20,1.56,2.42,0,140,200,10,6,16.2,20,1,2,2
176,2016,12,23,2,6,1,20,1.76,2.05,0,197,149,7,9,20,20,2,1,1
177,2016,12,26,2,3,5,17.4,2.14,1.7,0,188,191,4,3,20,17.4,1,1,2
178,2016,12,27,2,7,6,20,2.3,1.61,0,132,130,4,8,18,20,2,2,1
179,2016,12,28,2,8,2,19.4,2.09,1.74,0,157,160,7,7,20,19.4,2,1,2
180,2016,12,29,3,4,6,20,1.85,1.94,0,148,152,8,6,20,20,2,1,2
181,2016,12,30,3,2,3,20,1.63,2.27,0,174,173,3,9,16.2,20,1,2,1
182,2016,12,31,3,1,7,18.2,1.91,1.88,0,152,104,9,10,20,18.2,2,1,1
183,2017,1,1,3,5,4,20,1.61,2.3,0,151,171,9,4,18,20,1,2,2
184,2017,1,1,4,6,8,20,1.61,2.3,0,177,127,4,8,20,20,2,1,1
185,2017,1,2,4,3,1,20,2.02,1.75,0,144,143,2,10,17.4,20,1,2,1
186,2017,1,3,4,2,7,19.4,1.68,2.19,0,186,191,6,7,20,19.4,2,1,2
187,2017,1,4,4,8,5,20,2.39,1.57,0,168,166,4,8,20,20,1,2,1
188,2017,1,5,5,6,2,14.4,1.57,2.39,0,173,174,6,1,20,14.4,1,1,2
189,2017,1,6,5,1,3,20,1.77,2.03,0,164,161,5,8,18.2,20,1,2,1
190,2017,1,7,5,4,5,20,2.05,1.76,0,154,200,9,7,20,20,1,2,2
191,2017,1,8,5,3,8,16.5,1.74,2.08,0,161,162,8,4,20,16.5,2,1,2
192,2017,1,9,6,7,4,20,1.9,1.89,0,171,170,4,6,19.3,20,2,2,1
193,2017,1,10,6,5,1,20,1.63,2.27,0,153,152,8,8,19.3,20,1,2,1
194,2017,1,11,6,2,6,20,1.99,1.8,0,129,156,10,5,19.2,20,1,2,2
195,2017,1,12,6,4,3,20,1.63,2.27,0,222,223,4,8,20,20,2,1,2
196,2017,1,14,7,7,8,10,2.3,1.61,0,99,100,9,2,20,10,1,1,2
197,2017,1,14,7,6,5,17.2,1.82,1.96,0,134,137,7,3,20,17.2,1,1,2
198,2017,1,16,7,1,4,20,2.11,1.72,0,165,171,8,9,20,20,1,2,2
199,2017,1,17,7,5,2,18.1,1.48,2.63,0,138,139,7,3,20,18.1,1,1,2
200,2017,1,18,8,8,1,20,1.68,2.18,0,101,178,10,5,15.3,20,1,2,2
201,2017,1,20,8,2,4,20,2.05,1.76,0,198,199,10,5,19.5,20,1,2,2
202,2017,1,21,8,3,6,13.5,2.14,1.7,0,134,135,6,3,20,13.5,2,1,2
203,2017,1,21,8,5,7,19,1.91,1.88,0,156,160,8,7,20,19,2,1,2
204,2017,1,24,9,6,5,20,1.72,2.13,0,139,136,3,8,16.5,20,1,2,1
205,2017,1,25,9,2,7,20,1.87,1.95,-1,167,167,9,8,20,20,2,1,2
206,2017,1,28,10,6,7,20,1.76,2.07,0,144,141,1,9,15.5,20,1,2,1
